,Participant,Stimulus,1st Region,2nd Region,3rd Region,length
153,4,university_q22.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
154,4,university_q31.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
155,6,birth_city_q11.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
156,6,birth_city_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
157,6,birth_city_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
158,6,books_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
159,6,books_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
160,6,books_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
161,6,cars_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
162,6,cars_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
163,6,cars_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
164,6,cleaning_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
165,6,cleaning_q21.avi,eyes+eyebrows,mouth+chin,none,2.0
166,6,cleaning_q31.avi,nose+cheeks,eyes+eyebrows,none,2.0
167,6,clothes_q11.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
168,6,clothes_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
169,6,clothes_q3.avi,mouth+chin,forehead,eyes+eyebrows,3.0
170,6,color_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
171,6,color_q21.avi,eyes+eyebrows,none,none,1.0
172,6,concerts_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
173,6,concerts_q21.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
174,6,concerts_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
175,6,date_birth_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
176,6,date_birth_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
177,6,date_birth_q3.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
178,6,extrovertism_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
179,6,extrovertism_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
180,6,flight_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
181,6,flight_q21.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
182,6,food_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
183,6,food_q21.avi,mouth+chin,nose+cheeks,mouth+chin,3.0
184,6,last_hour_q11.avi,eyes+eyebrows,nose+cheeks,none,2.0
185,6,last_hour_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
186,6,movies_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
187,6,movies_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
188,6,movies_q31.avi,nose+cheeks,mouth+chin,eyes+eyebrows,3.0
189,6,movies_q4.avi,mouth+chin,eyes+eyebrows,none,2.0
190,6,music_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
191,6,music_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
192,6,music_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
193,6,pets_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
194,6,pets_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
195,6,smartphone_q1.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
196,6,smartphone_q2.avi,forehead,nose+cheeks,mouth+chin,3.0
197,6,sports_q11.avi,mouth+chin,eyes+eyebrows,none,2.0
198,6,sports_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
199,6,sports_q31.avi,mouth+chin,forehead,eyes+eyebrows,3.0
200,6,theatre_q1.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
201,6,theatre_q2.avi,nose+cheeks,eyes+eyebrows,none,2.0
202,6,tv_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
203,6,tv_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
204,6,university_q11.avi,mouth+chin,eyes+eyebrows,forehead,3.0
205,6,university_q22.avi,nose+cheeks,eyes+eyebrows,none,2.0
206,6,university_q31.avi,forehead,eyes+eyebrows,mouth+chin,3.0
207,8,birth_city_q11.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
208,8,birth_city_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
209,8,birth_city_q31.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
210,8,books_q11.avi,nose+cheeks,mouth+chin,eyes+eyebrows,3.0
211,8,books_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
212,8,books_q31.avi,nose+cheeks,mouth+chin,none,2.0
213,8,cars_q11.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
214,8,cars_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
215,8,cars_q31.avi,nose+cheeks,mouth+chin,eyes+eyebrows,3.0
216,8,cleaning_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
217,8,cleaning_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
218,8,cleaning_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
219,8,clothes_q11.avi,eyes+eyebrows,none,none,1.0
220,8,clothes_q21.avi,eyes+eyebrows,none,none,1.0
221,8,clothes_q3.avi,mouth+chin,eyes+eyebrows,none,2.0
222,8,color_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
223,8,color_q21.avi,eyes+eyebrows,none,none,1.0
224,8,concerts_q11.avi,eyes+eyebrows,none,none,1.0
225,8,concerts_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
226,8,concerts_q31.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
227,8,date_birth_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
228,8,date_birth_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
229,8,date_birth_q3.avi,eyes+eyebrows,none,none,1.0
230,8,extrovertism_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
231,8,extrovertism_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
232,8,flight_q11.avi,eyes+eyebrows,nose+cheeks,mouth+chin,3.0
233,8,flight_q21.avi,eyes+eyebrows,mouth+chin,eyes+eyebrows,3.0
234,8,food_q11.avi,eyes+eyebrows,forehead,eyes+eyebrows,3.0
235,8,food_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
236,8,last_hour_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
237,8,last_hour_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
238,8,movies_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
239,8,movies_q21.avi,nose+cheeks,mouth+chin,nose+cheeks,3.0
240,8,movies_q31.avi,nose+cheeks,mouth+chin,eyes+eyebrows,3.0
241,8,movies_q4.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
242,8,music_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
243,8,music_q21.avi,nose+cheeks,none,none,1.0
244,8,music_q31.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
245,8,pets_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
246,8,pets_q21.avi,eyes+eyebrows,mouth+chin,nose+cheeks,3.0
247,8,smartphone_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
248,8,smartphone_q2.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
249,8,sports_q11.avi,eyes+eyebrows,none,none,1.0
250,8,sports_q21.avi,eyes+eyebrows,none,none,1.0
251,8,sports_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
252,8,theatre_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
253,8,theatre_q2.avi,eyes+eyebrows,none,none,1.0
254,8,tv_q11.avi,nose+cheeks,eyes+eyebrows,forehead,3.0
255,8,tv_q21.avi,eyes+eyebrows,none,none,1.0
256,8,university_q11.avi,eyes+eyebrows,none,none,1.0
257,8,university_q22.avi,eyes+eyebrows,mouth+chin,eyes+eyebrows,3.0
258,8,university_q31.avi,nose+cheeks,eyes+eyebrows,none,2.0
259,10,birth_city_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
260,10,birth_city_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
261,10,birth_city_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
262,10,books_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
263,10,books_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
264,10,books_q31.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
265,10,cars_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
266,10,cars_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
267,10,cars_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
268,10,cleaning_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
269,10,cleaning_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
270,10,cleaning_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
271,10,clothes_q11.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
272,10,clothes_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
273,10,clothes_q3.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
274,10,color_q11.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
275,10,color_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
276,10,concerts_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
277,10,concerts_q21.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
278,10,concerts_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
279,10,date_birth_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
280,10,date_birth_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
281,10,date_birth_q3.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
282,10,extrovertism_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
283,10,extrovertism_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
284,10,flight_q11.avi,mouth+chin,eyes+eyebrows,mouth+chin,3.0
285,10,flight_q21.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
286,10,food_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
287,10,food_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
288,10,last_hour_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
289,10,last_hour_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
290,10,movies_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
291,10,movies_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
292,10,movies_q31.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
293,10,movies_q4.avi,nose+cheeks,eyes+eyebrows,none,2.0
294,10,music_q11.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
295,10,music_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
296,10,music_q31.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
297,10,pets_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
298,10,pets_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
299,10,smartphone_q1.avi,mouth+chin,eyes+eyebrows,nose+cheeks,3.0
300,10,smartphone_q2.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
301,10,sports_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
302,10,sports_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
303,10,sports_q31.avi,eyes+eyebrows,mouth+chin,eyes+eyebrows,3.0
304,10,theatre_q1.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
305,10,theatre_q2.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
306,10,tv_q11.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
307,10,tv_q21.avi,mouth+chin,eyes+eyebrows,none,2.0
308,10,university_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
309,10,university_q22.avi,nose+cheeks,eyes+eyebrows,none,2.0
310,10,university_q31.avi,eyes+eyebrows,none,none,1.0
311,13,birth_city_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
312,13,birth_city_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
313,13,birth_city_q31.avi,nose+cheeks,eyes+eyebrows,mouth+chin,3.0
314,13,books_q11.avi,nose+cheeks,eyes+eyebrows,forehead,3.0
315,13,books_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
316,13,books_q31.avi,nose+cheeks,eyes+eyebrows,forehead,3.0
317,13,cars_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
318,13,cars_q21.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
319,13,cars_q31.avi,nose+cheeks,none,none,1.0
320,13,cleaning_q11.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
321,13,cleaning_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
322,13,cleaning_q31.avi,nose+cheeks,eyes+eyebrows,nose+cheeks,3.0
323,13,clothes_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
324,13,clothes_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
325,13,clothes_q3.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
326,13,color_q11.avi,nose+cheeks,eyes+eyebrows,forehead,3.0
327,13,color_q21.avi,eyes+eyebrows,mouth+chin,none,2.0
328,13,concerts_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
329,13,concerts_q21.avi,mouth+chin,nose+cheeks,none,2.0
330,13,concerts_q31.avi,mouth+chin,eyes+eyebrows,none,2.0
331,13,date_birth_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
332,13,date_birth_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
333,13,date_birth_q3.avi,nose+cheeks,eyes+eyebrows,none,2.0
334,13,extrovertism_q11.avi,eyes+eyebrows,none,none,1.0
335,13,extrovertism_q21.avi,mouth+chin,eyes+eyebrows,forehead,3.0
336,13,flight_q11.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
337,13,flight_q21.avi,mouth+chin,nose+cheeks,eyes+eyebrows,3.0
338,13,food_q11.avi,eyes+eyebrows,forehead,none,2.0
339,13,food_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
340,13,last_hour_q11.avi,eyes+eyebrows,none,none,1.0
341,13,last_hour_q21.avi,eyes+eyebrows,nose+cheeks,eyes+eyebrows,3.0
342,13,movies_q11.avi,nose+cheeks,eyes+eyebrows,none,2.0
343,13,movies_q21.avi,nose+cheeks,eyes+eyebrows,none,2.0
344,13,movies_q31.avi,mouth+chin,nose+cheeks,none,2.0
345,13,movies_q4.avi,nose+cheeks,eyes+eyebrows,none,2.0
